Time (days),Mu
10,0.1345
20,0.32732
30,0.35734
40,0.22463
50,0.16783
60,0.16694
70,0.60524
80,0.2697
90,0.14342
100,0.42095
110,0.26117
120,0.25379
130,0.13322
140,0.1247
150,0.43943
