Time (days),Mu,P
10,1.4272,0.89506
20,3.3416,1.0696
30,3.9121,0.83771
40,2.2793,0.064787
50,2.1461,0.059482
60,1.8623,0.44845
70,1.8158,0.78508
80,0.32688,0.74735
90,1.6894,0.61614
100,1.694,0.71474
110,1.7158,0.96407
120,2.7043,0.67442
130,1.381,0.96589
140,1.2748,0.9896
150,0.44107,0.45263
